Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
4.087,1.075,0.6598826024182503,5.575,1.281,2.048,0.7141,0.4309,1.318,5.089,2.853,0.723,5.278,5.505,2.154490216868188
3.978,1.052,1.0082607713275085,5.625,1.219,2.107,0.7532,0.4431,1.381,5.021,2.755,0.624,5.691,5.392,2.163880064277292
4.103,1.027,0.7037461975351549,5.505,1.244,2.015,0.7129,0.3699,1.273,5.154,2.915,0.737,5.33,5.52,2.146628849794596
4.161,1.049,0.6877191147039783,5.22,1.215,2.031,0.6726,0.4419,1.204,5.175,2.719,0.359,5.311,5.092,2.0779349262253315
3.894,1.003,0.9880160351197066,5.713,1.16,2.052,0.6873,0.3821,1.266,5.077,2.744,0.245,5.667,4.963,2.1009513362599757
3.976,0.9985,0.8640170258469196,5.582,1.15,2.063,0.6396,0.2954,1.212,5.054,2.955,0.834,5.52,5.63,2.1352930854872434
3.94,0.8582,0.46249642439218164,5.413,1.075,1.763,0.6042,0.4285,1.149,5.054,2.813,0.424,5.044,5.166,1.9986997020326813
3.787,0.9534,0.5890260256909439,5.149,1.13,1.862,0.6702,0.4663,1.093,4.961,2.738,0.35,5.194,5.082,1.9790771688075786
3.806,0.9851,0.3865786636129246,5.435,1.141,1.906,0.6848,0.3552,1.161,5.026,2.7,0.139,4.954,4.843,1.9771398886344105
3.834,0.8948,1.077430286704165,5.315,1.029,2.017,0.6006,0.4639,1.097,5.16,2.609,0.677,5.773,5.452,2.064560857225347
3.796,1.167,0.6666308478208509,5.25,1.09,1.74,0.6982,0.4138,1.1,5.125,2.593,0.689,5.286,5.466,2.027385903985071
3.682,0.8813,0.6126448846000465,5.543,1.01,1.967,0.6445,0.4175,1.119,5.192,2.654,0.867,5.222,5.667,2.0491620737166705
3.751,1.005,0.6641002557948764,5.476,1.018,1.898,0.7019,0.4358,1.113,5.024,2.539,0.103,5.283,4.803,1.9774000213162404
3.866,0.9229,0.9255947651456508,5.193,0.9521,1.87,0.509,0.3796,1.058,5.095,2.457,0.111,5.593,4.812,1.9449328970954707
3.771,1.039,0.3891092556388999,5.197,0.8618,1.838,0.5176,0.3918,1.102,5.098,2.643,0.628,4.957,5.397,1.9563591046365751
3.89,0.918,0.5384141851714395,4.994,1.086,1.748,0.5396,0.3589,0.9851,5.059,2.606,0.542,5.134,5.299,1.9387511820976198
3.827,0.8411,0.9289688878469514,5.238,0.9399,1.764,0.5566,0.3235,0.9424,5.017,2.694,0.765,5.597,5.552,1.9864557406539125
3.669,1.029,0.5898695563662693,5.344,0.9521,1.705,0.5273,0.3198,0.9302,5.117,2.516,0.566,5.195,5.327,1.9387724630305223
